document_id,ticker,company,form_type,filing_date,source,characters,chunks,source_url
financebench_AMD_2022_10K,AMD,AMD,10k,2022,benchmark-evidence,5744,3,https://ir.amd.com/sec-filings/content/0000002488-23-000047/0000002488-23-000047.pdf
financebench_AMERICANEXPRESS_2022_10K,AMERICANEXPRESS,American Express,10k,2022,benchmark-evidence,8360,5,https://s26.q4cdn.com/747928648/files/doc_financials/2022/q4/AMEX-10K-4Q22.pdf
financebench_AMERICANWATERWORKS_2020_10K,AMERICANWATERWORKS,American Water Works,10k,2020,benchmark-evidence,2735,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001410636/088387fd-7250-4370-80a7-dc5a30ea84ed.pdf
financebench_AMERICANWATERWORKS_2021_10K,AMERICANWATERWORKS,American Water Works,10k,2021,benchmark-evidence,4105,3,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001410636/1228947b-ee48-4079-984b-7741727bbcea.pdf
financebench_AMERICANWATERWORKS_2022_10K,AMERICANWATERWORKS,American Water Works,10k,2022,benchmark-evidence,1655,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001410636/ba508f4d-f3f5-4b6a-beba-e7bef231f5db.pdf
financebench_BESTBUY_2017_10K,BESTBUY,Best Buy,10k,2017,benchmark-evidence,1515,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/47c2227c-aa33-4fe8-b14c-5f77bc63857e.pdf
financebench_BESTBUY_2019_10K,BESTBUY,Best Buy,10k,2019,benchmark-evidence,1506,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/17bef9d1-6ef1-4a53-beb8-9c12b07a4a0e.pdf
financebench_BESTBUY_2023_10K,BESTBUY,Best Buy,10k,2023,benchmark-evidence,3884,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/a7d1c855-4d22-48e4-9d17-b5f5af923dbe.pdf
financebench_BESTBUY_2024Q2_10Q,BESTBUY,Best Buy,10q,2024,benchmark-evidence,5486,3,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000764478/5e179976-086d-4c3c-af0c-85fda4b35b9d.pdf
financebench_BLOCK_2016_10K,BLOCK,Block,10k,2016,benchmark-evidence,1945,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001512673/1862b88f-4e6b-4251-be45-4833fc0a0126.pdf
financebench_BLOCK_2020_10K,BLOCK,Block,10k,2020,benchmark-evidence,4777,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001512673/c7b05bfa-5bb8-43b7-9580-9de362ef1e83.pdf
financebench_BOEING_2018_10K,BOEING,Boeing,10k,2018,benchmark-evidence,1698,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000012927/fdc164e4-475f-416e-ac75-acd03df4d646.pdf
financebench_BOEING_2022_10K,BOEING,Boeing,10k,2022,benchmark-evidence,3151,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000012927/c93682a4-8b3c-4251-a2ed-97c4e474a214.pdf
financebench_COCACOLA_2017_10K,COCACOLA,Coca-Cola,10k,2017,benchmark-evidence,3937,2,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0000021344-18-000008/0000021344-18-000008.pdf
financebench_COCACOLA_2021_10K,COCACOLA,Coca-Cola,10k,2021,benchmark-evidence,1218,1,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/content/0000021344-22-000009/0000021344-22-000009.pdf
financebench_COCACOLA_2022_10K,COCACOLA,Coca-Cola,10k,2022,benchmark-evidence,3635,2,https://investors.coca-colacompany.com/filings-reports/all-sec-filings/content/0000021344-23-000011/0000021344-23-000011.pdf
financebench_CORNING_2020_10K,CORNING,Corning,10k,2020,benchmark-evidence,2879,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/7cdeac7f-277e-4258-ad8e-4ba0f655f368.pdf
financebench_CORNING_2021_10K,CORNING,Corning,10k,2021,benchmark-evidence,1580,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/f9519502-38b3-4e0b-94fa-b6a7138812a4.pdf
financebench_CORNING_2022_10K,CORNING,Corning,10k,2022,benchmark-evidence,1994,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000024741/eb24002c-e050-45eb-806a-15264d59131c.pdf
financebench_COSTCO_2021_10K,COSTCO,Costco,10k,2021,benchmark-evidence,1677,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000909832/534964a5-44c9-47b3-b3c0-7620830fad6c.pdf
financebench_CVSHEALTH_2018_10K,CVSHEALTH,CVS Health,10k,2018,benchmark-evidence,3477,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000064803/317e65d9-41c0-4975-b3e1-30f7f2616049.pdf
financebench_CVSHEALTH_2022_10K,CVSHEALTH,CVS Health,10k,2022,benchmark-evidence,3156,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000064803/e4b97418-e95e-4391-b2d9-8c604c4950ac.pdf
financebench_FOOTLOCKER_2022_8K_dated_2022-08-19,FOOTLOCKER,Foot Locker,8k,2022,benchmark-evidence,640,1,https://investors.footlocker-inc.com/static-files/6120b3ac-d921-4d93-9e7a-c2685e4b74b0
financebench_FOOTLOCKER_2022_8K_dated-2022-05-20,FOOTLOCKER,Foot Locker,8k,2022,benchmark-evidence,985,1,https://investors.footlocker-inc.com/static-files/1ad2000b-8d76-4acd-8048-90b6fc17fee1
financebench_GENERALMILLS_2019_10K,GENERALMILLS,General Mills,10k,2019,benchmark-evidence,2613,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000040704/0fd13703-8eed-4b60-b46c-b2b3199887dc.pdf
financebench_GENERALMILLS_2020_10K,GENERALMILLS,General Mills,10k,2020,benchmark-evidence,4284,2,https://s29.q4cdn.com/993087495/files/doc_downloads/2020/F20_10K_Final_07.01.2020.pdf
financebench_GENERALMILLS_2022_10K,GENERALMILLS,General Mills,10k,2022,benchmark-evidence,4038,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000040704/e031af8c-f4fd-4350-9275-d3dbbec95c8c.pdf
financebench_JOHNSON_JOHNSON_2022_10K,JOHNSON,Johnson & Johnson,10k,2022,benchmark-evidence,2340,2,https://johnsonandjohnson.gcs-web.com/static-files/9b012500-471a-4df9-93fc-6cee2b420678
financebench_JOHNSON_JOHNSON_2022Q4_EARNINGS,JOHNSON,Johnson & Johnson,Earnings,2022,benchmark-evidence,1468,1,https://johnsonandjohnson.gcs-web.com/static-files/ca8c3ac2-15ab-4f8d-9693-f604d50be358
financebench_JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,JOHNSON,Johnson & Johnson,8k,2023,benchmark-evidence,7029,4,https://johnsonandjohnson.gcs-web.com/static-files/fa9ff302-f93d-450a-a73a-2ac9fb67d2ee
financebench_JOHNSON_JOHNSON_2023Q2_EARNINGS,JOHNSON,Johnson & Johnson,Earnings,2023,benchmark-evidence,780,1,https://johnsonandjohnson.gcs-web.com/static-files/6626623f-0619-46dc-b7b6-57568124c517
financebench_JPMORGAN_2021Q1_10Q,JPMORGAN,JPMorgan,10q,2021,benchmark-evidence,1344,1,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2021/1st-quarter/1q21-10-q.pdf
financebench_JPMORGAN_2022_10K,JPMORGAN,JPMorgan,10k,2022,benchmark-evidence,735,1,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2022/4th-quarter/corp-10k-2022.pdf
financebench_JPMORGAN_2022Q2_10Q,JPMORGAN,JPMorgan,10q,2022,benchmark-evidence,1281,1,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2022/2nd-quarter/corp-q2-2022.pdf
financebench_JPMORGAN_2023Q2_10Q,JPMORGAN,JPMorgan,10q,2023,benchmark-evidence,226,1,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2023/2nd-quarter/CORP-Q2-2023.pdf
financebench_KRAFTHEINZ_2019_10K,KRAFTHEINZ,Kraft Heinz,10k,2019,benchmark-evidence,3006,2,https://ir.kraftheinzcompany.com/static-files/2d2e9a1f-a7bc-4c07-9e5e-77aa60be8f86
financebench_LOCKHEEDMARTIN_2020_10K,LOCKHEEDMARTIN,Lockheed Martin,10k,2020,benchmark-evidence,2695,2,https://investors.lockheedmartin.com/static-files/51bf9a09-5811-4f36-a5e4-fccaf8bfffea
financebench_LOCKHEEDMARTIN_2021_10K,LOCKHEEDMARTIN,Lockheed Martin,10k,2021,benchmark-evidence,1382,1,https://investors.lockheedmartin.com/static-files/9ea385e3-f89c-471a-a720-4dcda1279cec
financebench_LOCKHEEDMARTIN_2022_10K,LOCKHEEDMARTIN,Lockheed Martin,10k,2022,benchmark-evidence,1382,1,https://investors.lockheedmartin.com/static-files/3e78cba6-f0c4-48d0-b931-fc6137744c87
financebench_MGMRESORTS_2018_10K,MGMRESORTS,MGM Resorts,10k,2018,benchmark-evidence,1795,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/d1b055df-9e21-4013-a311-67c98e2eb16a.pdf
financebench_MGMRESORTS_2020_10K,MGMRESORTS,MGM Resorts,10k,2020,benchmark-evidence,5483,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/03692647-6ccc-4177-8ce9-13ac35692254.pdf
financebench_MGMRESORTS_2022Q4_EARNINGS,MGMRESORTS,MGM Resorts,Earnings,2022,benchmark-evidence,2267,1,https://s22.q4cdn.com/513010314/files/doc_financials/2022/q4/r/MGM-Resorts-Exhibit-99.1.pdf
financebench_MGMRESORTS_2023Q2_10Q,MGMRESORTS,MGM Resorts,10q,2023,benchmark-evidence,536,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000789570/e20e899f-c320-44ee-b5f9-c219e4585f49.pdf
financebench_MICROSOFT_2016_10K,MICROSOFT,Microsoft,10k,2016,benchmark-evidence,1093,1,https://microsoft.gcs-web.com/static-files/a779c4f1-d788-4890-83fb-633d198efe7e
financebench_MICROSOFT_2023_10K,MICROSOFT,Microsoft,10k,2023,benchmark-evidence,1639,1,https://microsoft.gcs-web.com/static-files/e2931fdb-9823-4130-b2a8-f6b8db0b15a9
financebench_NETFLIX_2015_10K,NETFLIX,Netflix,10k,2015,benchmark-evidence,3623,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001065280/7c37ae9c-ace5-4ad5-ab02-6b5e82c5ff8f.pdf
financebench_NETFLIX_2017_10K,NETFLIX,Netflix,10k,2017,benchmark-evidence,1690,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001065280/105c44c4-a362-4ed5-b606-78f512ff277c.pdf
financebench_NIKE_2018_10K,NIKE,Nike,10k,2018,benchmark-evidence,812,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320187/3489b854-fa60-41a7-b8c3-8dc6b67534c0.pdf
financebench_NIKE_2019_10K,NIKE,Nike,10k,2019,benchmark-evidence,1406,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320187/76b92d86-75b3-4fa9-a754-e83395d63a46.pdf
financebench_NIKE_2021_10K,NIKE,Nike,10k,2021,benchmark-evidence,2436,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320187/702c5a98-3399-4049-aa9b-a159dd44826c.pdf
financebench_NIKE_2023_10K,NIKE,Nike,10k,2023,benchmark-evidence,2059,1,https://s1.q4cdn.com/806093406/files/doc_downloads/2023/414759-1-_5_Nike-NPS-Combo_Form-10-K_WR.pdf
financebench_PAYPAL_2022_10K,PAYPAL,Paypal,10k,2022,benchmark-evidence,1740,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001633917/b562e712-8266-493c-8ae8-e28f93404d2f.pdf
financebench_PEPSICO_2021_10K,PEPSICO,PepsiCo,10k,2021,benchmark-evidence,1888,1,https://pepsico.gcs-web.com/static-files/a5a1d988-8e28-4dc7-ac4e-e6a2abfd0310
financebench_PEPSICO_2022_10K,PEPSICO,PepsiCo,10k,2022,benchmark-evidence,12488,7,https://pepsico.gcs-web.com/static-files/d051bdd6-c6d2-4814-826f-ece589b88d4c
financebench_PEPSICO_2023_8K_dated-2023-05-05,PEPSICO,PepsiCo,8k,2023,benchmark-evidence,138,1,https://pepsico.gcs-web.com/static-files/718629be-2463-4b54-bba3-5e0e776e7d0c
financebench_PEPSICO_2023_8K_dated-2023-05-30,PEPSICO,PepsiCo,8k,2023,benchmark-evidence,6472,4,https://pepsico.gcs-web.com/static-files/bcd1012b-77b8-4ac0-8b28-5e0a7c686f4e
financebench_PEPSICO_2023Q1_EARNINGS,PEPSICO,PepsiCo,Earnings,2023,benchmark-evidence,774,1,https://investors.pepsico.com/docs/default-source/investors/q1-2023/q1-2023-earnings-release_wfvmt94lzqbm92aw.pdf?sfvrsn=5db72450_4
financebench_PFIZER_2021_10K,PFIZER,Pfizer,10k,2021,benchmark-evidence,4641,3,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000078003/fa35a206-5bac-4a7a-9571-1e194b4436b5.pdf
financebench_Pfizer_2023Q2_10Q,Pfizer,Pfizer,10q,2023,benchmark-evidence,1044,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000078003/c7518e4a-3aaf-4987-ae85-27460d0f526c.pdf
financebench_ULTABEAUTY_2023_10K,ULTABEAUTY,Ulta Beauty,10k,2023,benchmark-evidence,2329,1,https://www.ulta.com/investor/sec-filings/annual-reports/content/0001558370-23-004581/0001558370-23-004581.pdf
financebench_ULTABEAUTY_2023Q4_EARNINGS,ULTABEAUTY,Ulta Beauty,Earnings,2023,benchmark-evidence,3537,2,https://d1io3yog0oux5.cloudfront.net/_237c8bef5f763d3c6c3a0d12f008caba/ulta/news/2023-03-09_Ulta_Beauty_Announces_Fourth_Quarter_Fiscal_2022_164.pdf
financebench_VERIZON_2021_10K,VERIZON,Verizon,10k,2021,benchmark-evidence,1210,1,https://www.verizon.com/about/sites/default/files/2021-Annual-Report-on-Form-10-K.pdf
financebench_VERIZON_2022_10K,VERIZON,Verizon,10k,2022,benchmark-evidence,3139,2,https://www.verizon.com/about/sites/default/files/2022-Annual-Report-on-Form-10K.pdf
financebench_WALMART_2018_10K,WALMART,Walmart,10k,2018,benchmark-evidence,2918,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000104169/a25e7acb-aa07-49f3-8c0c-0c69e5a8d372.pdf
financebench_WALMART_2019_10K,WALMART,Walmart,10k,2019,benchmark-evidence,1266,1,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000104169/b23b2787-eb44-4e0b-82bd-fca01f140a3e.pdf
financebench_WALMART_2020_10K,WALMART,Walmart,10k,2020,benchmark-evidence,3702,2,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000104169/af5415d9-0e07-4ba1-a6cc-bb3058a7f4e8.pdf
finder_b33fcee7,b33fcee7,b33fcee7,benchmark-evidence,,benchmark-evidence,1778,1,
finder_b8a1383c,b8a1383c,b8a1383c,benchmark-evidence,,benchmark-evidence,881,1,
finder_9826209b,9826209b,9826209b,benchmark-evidence,,benchmark-evidence,780,1,
finder_30eb0cd9,30eb0cd9,30eb0cd9,benchmark-evidence,,benchmark-evidence,1039,1,
finder_1a4cebce,1a4cebce,1a4cebce,benchmark-evidence,,benchmark-evidence,6048,3,
finder_dd6f1e96,dd6f1e96,dd6f1e96,benchmark-evidence,,benchmark-evidence,1299,1,
finder_a8300795,a8300795,a8300795,benchmark-evidence,,benchmark-evidence,1869,1,
finder_aaa2a2aa,aaa2a2aa,aaa2a2aa,benchmark-evidence,,benchmark-evidence,8309,5,
finder_f8e1242c,f8e1242c,f8e1242c,benchmark-evidence,,benchmark-evidence,2314,1,
finder_6d00752f,6d00752f,6d00752f,benchmark-evidence,,benchmark-evidence,5409,3,
finder_bd9a5806,bd9a5806,bd9a5806,benchmark-evidence,,benchmark-evidence,1232,1,
finder_a54fecf0,a54fecf0,a54fecf0,benchmark-evidence,,benchmark-evidence,1828,1,
finder_bfea2332,bfea2332,bfea2332,benchmark-evidence,,benchmark-evidence,4668,3,
finder_473d9258,473d9258,473d9258,benchmark-evidence,,benchmark-evidence,1479,1,
finder_4fd8f27d,4fd8f27d,4fd8f27d,benchmark-evidence,,benchmark-evidence,1428,1,
finder_307eb9a3,307eb9a3,307eb9a3,benchmark-evidence,,benchmark-evidence,436,1,
finder_79042ab4,79042ab4,79042ab4,benchmark-evidence,,benchmark-evidence,2825,2,
finder_f514dd06,f514dd06,f514dd06,benchmark-evidence,,benchmark-evidence,696,1,
finder_2a97bee5,2a97bee5,2a97bee5,benchmark-evidence,,benchmark-evidence,2267,1,
finder_b34c249b,b34c249b,b34c249b,benchmark-evidence,,benchmark-evidence,1340,1,
finder_3f45f682,3f45f682,3f45f682,benchmark-evidence,,benchmark-evidence,738,1,
finder_657fc00c,657fc00c,657fc00c,benchmark-evidence,,benchmark-evidence,802,1,
finder_29bb2dcf,29bb2dcf,29bb2dcf,benchmark-evidence,,benchmark-evidence,1675,1,
finder_38aeac1d,38aeac1d,38aeac1d,benchmark-evidence,,benchmark-evidence,3070,2,
finder_a6960aa5,a6960aa5,a6960aa5,benchmark-evidence,,benchmark-evidence,3348,2,
finder_5d422a98,5d422a98,5d422a98,benchmark-evidence,,benchmark-evidence,1135,1,
finder_be180e64,be180e64,be180e64,benchmark-evidence,,benchmark-evidence,612,1,
finder_07a24577,07a24577,07a24577,benchmark-evidence,,benchmark-evidence,860,1,
finder_b703f322,b703f322,b703f322,benchmark-evidence,,benchmark-evidence,1496,1,
finder_d2edc80b,d2edc80b,d2edc80b,benchmark-evidence,,benchmark-evidence,566,1,
finder_3bd723dd,3bd723dd,3bd723dd,benchmark-evidence,,benchmark-evidence,1228,1,
finder_5c779106,5c779106,5c779106,benchmark-evidence,,benchmark-evidence,1972,1,
finder_cf60b4d3,cf60b4d3,cf60b4d3,benchmark-evidence,,benchmark-evidence,5786,3,
finder_b0253cb9,b0253cb9,b0253cb9,benchmark-evidence,,benchmark-evidence,2080,1,
finder_b7268d1d,b7268d1d,b7268d1d,benchmark-evidence,,benchmark-evidence,2206,1,
finder_c4bf37dc,c4bf37dc,c4bf37dc,benchmark-evidence,,benchmark-evidence,311,1,
finder_ab7014a6,ab7014a6,ab7014a6,benchmark-evidence,,benchmark-evidence,1422,1,
finder_93a521e8,93a521e8,93a521e8,benchmark-evidence,,benchmark-evidence,895,1,
finder_6e873fd0,6e873fd0,6e873fd0,benchmark-evidence,,benchmark-evidence,1245,1,
finder_8ac98b17,8ac98b17,8ac98b17,benchmark-evidence,,benchmark-evidence,2893,2,
finder_3870d6d8,3870d6d8,3870d6d8,benchmark-evidence,,benchmark-evidence,2432,1,
finder_d4b02852,d4b02852,d4b02852,benchmark-evidence,,benchmark-evidence,5206,3,
finder_8d382a39,8d382a39,8d382a39,benchmark-evidence,,benchmark-evidence,935,1,
finder_4dfd5440,4dfd5440,4dfd5440,benchmark-evidence,,benchmark-evidence,713,1,
finder_285e8c71,285e8c71,285e8c71,benchmark-evidence,,benchmark-evidence,1180,1,
finder_864fd74a,864fd74a,864fd74a,benchmark-evidence,,benchmark-evidence,1342,1,
finder_1db74376,1db74376,1db74376,benchmark-evidence,,benchmark-evidence,3683,2,
finder_dbc577e8,dbc577e8,dbc577e8,benchmark-evidence,,benchmark-evidence,3272,2,
finder_7843fa28,7843fa28,7843fa28,benchmark-evidence,,benchmark-evidence,6247,3,
finder_8e615a7a,8e615a7a,8e615a7a,benchmark-evidence,,benchmark-evidence,466,1,
finder_c055991e,c055991e,c055991e,benchmark-evidence,,benchmark-evidence,3278,2,
finder_39d85a49,39d85a49,39d85a49,benchmark-evidence,,benchmark-evidence,3002,2,
finder_7b6ec08b,7b6ec08b,7b6ec08b,benchmark-evidence,,benchmark-evidence,1305,1,
finder_b5e0dc1c,b5e0dc1c,b5e0dc1c,benchmark-evidence,,benchmark-evidence,192,1,
finder_32397d54,32397d54,32397d54,benchmark-evidence,,benchmark-evidence,440,1,
finder_df464ff0,df464ff0,df464ff0,benchmark-evidence,,benchmark-evidence,6063,3,
finder_ea48df6d,ea48df6d,ea48df6d,benchmark-evidence,,benchmark-evidence,1240,1,
finder_4e13063f,4e13063f,4e13063f,benchmark-evidence,,benchmark-evidence,872,1,
finder_a0d72ab1,a0d72ab1,a0d72ab1,benchmark-evidence,,benchmark-evidence,776,1,
finder_dd99d4f6,dd99d4f6,dd99d4f6,benchmark-evidence,,benchmark-evidence,1124,1,
finder_76ae4baa,76ae4baa,76ae4baa,benchmark-evidence,,benchmark-evidence,9859,5,
finder_42a3eae0,42a3eae0,42a3eae0,benchmark-evidence,,benchmark-evidence,2343,1,
finder_9d5307ed,9d5307ed,9d5307ed,benchmark-evidence,,benchmark-evidence,3661,2,
finder_24ab435b,24ab435b,24ab435b,benchmark-evidence,,benchmark-evidence,532,1,
finder_539a7983,539a7983,539a7983,benchmark-evidence,,benchmark-evidence,3150,2,
finder_841a80b5,841a80b5,841a80b5,benchmark-evidence,,benchmark-evidence,1987,1,
finder_42503802,42503802,42503802,benchmark-evidence,,benchmark-evidence,1037,1,
finder_bcdc4f8b,bcdc4f8b,bcdc4f8b,benchmark-evidence,,benchmark-evidence,1033,1,
finder_abf9d50e,abf9d50e,abf9d50e,benchmark-evidence,,benchmark-evidence,3521,2,
finder_8a5a8dd5,8a5a8dd5,8a5a8dd5,benchmark-evidence,,benchmark-evidence,6355,3,
finder_f73a90f1,f73a90f1,f73a90f1,benchmark-evidence,,benchmark-evidence,1333,1,
finder_15b5a805,15b5a805,15b5a805,benchmark-evidence,,benchmark-evidence,427,1,
finder_6ea35e82,6ea35e82,6ea35e82,benchmark-evidence,,benchmark-evidence,3223,2,
finder_201e1ddd,201e1ddd,201e1ddd,benchmark-evidence,,benchmark-evidence,2326,1,
finder_04a8b1c4,04a8b1c4,04a8b1c4,benchmark-evidence,,benchmark-evidence,6211,3,
finder_2dd33bdf,2dd33bdf,2dd33bdf,benchmark-evidence,,benchmark-evidence,1332,1,
finder_6c8c2275,6c8c2275,6c8c2275,benchmark-evidence,,benchmark-evidence,1237,1,
finder_44c101b3,44c101b3,44c101b3,benchmark-evidence,,benchmark-evidence,1041,1,
finder_5bdcf5f7,5bdcf5f7,5bdcf5f7,benchmark-evidence,,benchmark-evidence,3275,2,
finder_67a08d82,67a08d82,67a08d82,benchmark-evidence,,benchmark-evidence,2415,2,
finder_e9d47dd7,e9d47dd7,e9d47dd7,benchmark-evidence,,benchmark-evidence,516,1,
finder_2af3f51a,2af3f51a,2af3f51a,benchmark-evidence,,benchmark-evidence,3122,2,
finder_1f789347,1f789347,1f789347,benchmark-evidence,,benchmark-evidence,724,1,
finder_c734df25,c734df25,c734df25,benchmark-evidence,,benchmark-evidence,2797,2,
finder_aafae895,aafae895,aafae895,benchmark-evidence,,benchmark-evidence,1234,1,
finder_232e40ba,232e40ba,232e40ba,benchmark-evidence,,benchmark-evidence,958,1,
finder_97274569,97274569,97274569,benchmark-evidence,,benchmark-evidence,855,1,
finder_ae44c022,ae44c022,ae44c022,benchmark-evidence,,benchmark-evidence,1214,1,
finder_21029196,21029196,21029196,benchmark-evidence,,benchmark-evidence,5736,3,
finder_46f556a4,46f556a4,46f556a4,benchmark-evidence,,benchmark-evidence,2935,2,
